smiles,similarity,w_similarity
CCCCCCCC=NOCc(c(F)1)c(F)c(F)c(F)c(F)1,0.7336694423583113,0.7753574326142009
CCCCCCC=NOCc(c(F)1)c(F)c(F)c(F)c(F)1,0.7347624855302743,0.8214116194892546
CCCCCC=NOCc(c(F)1)c(F)c(F)c(F)c(F)1,0.6934617497612159,0.7593329347021368
CCCC=NOCc(c(F)1)c(F)c(F)c(F)c(F)1,0.7341021404719561,0.7822764605681712
CCC=NOCc(c(F)1)c(F)c(F)c(F)c(F)1,0.7186381413504997,0.6355968662332921
CC=NOCc(c(F)1)c(F)c(F)c(F)c(F)1,0.7379010289085953,0.7394823268986189
C=NOCc(c(F)1)c(F)c(F)c(F)c(F)1,0.8102760019639479,0.7576315536276718
Fc(c2)c(ccc2)c(c1)cccc1,0.7857838345895126,0.8197422728818393
Fc(c(F)2)c(F)c(F)c(c(F)2)c(c(F)1)c(F)c(F)c(F)c(F)1,0.6980816374657743,0.7559735122515123
Clc(c1)ccc(c1)SC(F)(F)F,0.8819623086452789,0.9122429267404628
OCCCCCCCCCCCCCCCCF,0.8094827052456204,0.6411713266788515
Fc(c2)ccc(c2)c(n1)cc(Br)nc1,0.6683762903929276,0.7758755905657225
Fc(c2)ccc(c2)c(n1)nc(Br)cc1,0.8065327093216832,0.874045318740396
Fc(c3)cc(cc3)c(n2)nc(cc2)c(c1)cccc1,0.8185398296082376,0.858312603745784
Fc(c3)ccc(c3)c(n2)nc(cc2)c(c1)cccc1,0.7972641970820571,0.8170470638199107
[O-1][N+1](=O)c(c2)ccc(c2)OCc(c(F)1)c(F)c(F)c(F)c(F)1,0.8997255582908465,0.8528340086219117
[O-1][N+1](=O)c(c2)c(C)cc(c2)OCc(c(F)1)c(F)c(F)c(F)c(F)1,0.8836169137842891,0.8197180358988724
O=C(F)c(c1)cccc1,0.8716141609951092,0.8952757332130241
Fc(c1)cccc1,0.5634614219855082,0.7642473636397634
O=C(CC(=O)C(F)(F)F)c(c1)cccc1,0.8805492550288456,0.8634940180484926
CN(C)CCCN(c21)c(c3)c(ccc(C(F)(F)F)3)Sc(cccc2)1,0.8907352829894342,0.7600216089375805
CN(C4)CCN(C4)CCCN(c21)c(c3)c(ccc(C(F)(F)F)3)Sc(cccc2)1,0.6299976443802835,0.4453880528302388
O=C(CC(=O)C(F)(F)F)C(F)(F)F,0.7789152869515809,0.7082540528403669
CC(=O)CC(=O)C(F)(F)F,0.9148698869235092,0.7870093237261141
CCOC(=O)C(F)(F)F,0.663295289823377,0.578545161757393
FCCCCCCCCCCCCOC(C)=O,0.4809783264098023,0.7477904872016136
FCCCCCCCCC([H])=C([H])CCOC(C)=O,0.7598708603654591,0.7097155278187472
C(C3)CCN(C3)c(c2)nc(nc2C(F)(F)F)c(c1)c(O)ccc1,0.5560414258634025,0.7223330883285319
Fc(c2)c(ccc2)[Hg]c(c1)c(F)ccc1,0.1825463848396468,0.3009276397643628
CC(C)(C)[Si](C)(F)[Si](C)(F)C(C)(C)C,0.8930130940628688,0.8694474483172254
CC(C)(C)[Si](C)(F)[Si](C)(Cl)C(C)(C)C,0.8448582937078755,0.8292766161900524
Cc(c2)cc(C)c(c(C)2)[Si](F)(F)c(c(C)1)c(C)cc(C)c1,0.8275343024152831,0.8941285795572954
CC(C)=CCCC(C)(C=C)[Si](C)(C)F,0.6276445209936105,0.7200179341316505
CC(C)(C)c(c1)cc(C(C)(C)C)c(c1C(C)(C)C)[Si](O)(F)C(C)C,0.9315606901687132,0.868691177962693
CC(C)(C)c(c1)cc(C(C)(C)C)c([Si](C)(O)F)c1C(C)(C)C,0.9198034363555926,0.9116592695861412
CC(C)c(c1)cc(C(C)C)c(c(C(C)C)1)[Si](O)(F)C(C)(C)C,0.8719139355488743,0.8557731528330083
CC(C)(C)c(c1)cc(C(C)(C)C)c([Si](C)(F)F)c1C(C)(C)C,0.9189621013565824,0.9114399232031692
CC[Si](F)(F)c(c1C(C)(C)C)c(cc(C(C)(C)C)c1)C(C)(C)C,0.9302500971526492,0.8778590608164222
CC(C)(C)c(c1)cc(C(C)(C)C)c(c1C(C)(C)C)[Si](F)(F)C(C)C,0.9461705523361114,0.923975672338262
C[Si](C)(C)C([Si](C)(C)F)=C([Si](C)(C)C)[Si](C)(C)F,0.8031638479861952,0.8267009035684599
C[Si](C)(F)C#C[Si](C)(C)F,0.8424692845300962,0.8362070821321367
CCCCOP(=O)(OCCCC)CCNC(=O)C(F)(F)F,0.6303296344986686,0.669038203704377
CCCCOP(=O)(OCCCC)C(CCCC)NC(=O)C(F)(F)F,0.574467130425991,0.7580728734585723
CCCCOP(=O)(OCCCC)C(CC(C)C)NC(=O)C(F)(F)F,0.7146795320134892,0.7999906323617579
CCCCOP(=O)(OCCCC)C(CCC)NC(=O)C(F)(F)F,0.5028015066373529,0.7061044660148181
CCCCOP(=O)(OCCCC)C(CC)NC(=O)C(F)(F)F,0.4263980650878599,0.6808346879499972
CCCCOP(=O)(OCCCC)CCN(C)C(=O)C(F)(F)F,0.7924270966854935,0.8535841548535518
CCCCOP(=O)(OCCCC)C(C)NC(=O)C(F)(F)F,0.529478127557515,0.6539945384936894
CCCCOP(=O)(OCCCC)CNC(=O)C(F)(F)F,0.484354544010621,0.7431213978066817
CN(C)c(c2)nc(nc2)c(c1)cc(F)cc1,0.7289661616376379,0.8559622984957933
CN(C)c(c2)nc(nc2)c(c1)ccc(F)c1,0.7422537253622495,0.8505395826719593
Fc(c2)ccc(c2)c(c1)nc(nc1)N(C)C,0.7635393242927399,0.8819717339804171
Fc(c2)cc(cc2)c(n1)cc(Cl)nc1,0.8243985436444329,0.8234377234709076
Fc(c2)ccc(c2)c(n1)cc(Cl)nc1,0.8415217395834798,0.8612165666143713
Fc(c2)ccc(c2)c(c1)nc(Cl)nc1,0.7967698165537671,0.8844117198313445
COc(n2)cc(nc2)c(c1)cc(F)cc1,0.6279294321919826,0.7393392441945282
N#Cc(n2)nc(cc2)c(c1)ccc(F)c1,0.6000564131821402,0.7735043350890503
N#Cc(n2)cc(nc2)c(c1)ccc(F)c1,0.7098637946778656,0.7899388556888132
O=C(N2)C=C(N=C2)c(c1)cc(F)cc1,0.6657821509000018,0.7501913147697614
Fc(c2)ccc(c2)C(N=1)=CC(=O)NC1,0.6947196574517668,0.8002355791443034
O=C(C=2)NC(=NC2)c(c1)cc(F)cc1,0.5646106953698448,0.7167299635794206
Fc(c2)ccc(c2)C(=N1)NC(=O)C=C1,0.5717356388990602,0.6896518879161149
